pm9639;PICKERING-1;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9640;PICKERING-2;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9641;PICKERING-3;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9642;PICKERING-4;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9643;PICKERING-5;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9644;PICKERING-6;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9645;PICKERING-7;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9646;PICKERING-8;PICKERING;CANADA;3094;-79.066700;43.816700;;-79.0667;43.8167
pm9647;POINT LEPREAU;POINT LEPREAU;CANADA;635;-66.466700;45.066700;;-66.4667;45.0667
pm9648;ARKANSAS ONE-1;ARKANSAS ONE;UNITED STATES OF AMERICA;1839;-93.230800;35.226700;;-93.2308;35.2267
pm9649;ARKANSAS ONE-2;ARKANSAS ONE;UNITED STATES OF AMERICA;1839;-93.230800;35.226700;;-93.2308;35.2267
pm9650;BEAVER VALLEY-1;BEAVER VALLEY;UNITED STATES OF AMERICA;1738;-80.433900;40.621900;;-80.4339;40.6219
pm9651;BEAVER VALLEY-2;BEAVER VALLEY;UNITED STATES OF AMERICA;1738;-80.433900;40.621900;;-80.4339;40.6219
pm9652;BRAIDWOOD-1;BRAIDWOOD;UNITED STATES OF AMERICA;2330;-88.228900;41.243600;;-88.2289;41.2436
pm9653;BRAIDWOOD-2;BRAIDWOOD;UNITED STATES OF AMERICA;2330;-88.228900;41.243600;;-88.2289;41.2436
pm9654;BROWNS FERRY-1;BROWNS FERRY;UNITED STATES OF AMERICA;3272;-87.118600;34.704200;;-87.1186;34.7042
pm9655;BROWNS FERRY-2;BROWNS FERRY;UNITED STATES OF AMERICA;3272;-87.118600;34.704200;;-87.1186;34.7042
pm9656;BROWNS FERRY-3;BROWNS FERRY;UNITED STATES OF AMERICA;3272;-87.118600;34.704200;;-87.1186;34.7042
pm9657;BRUNSWICK-1;BRUNSWICK;UNITED STATES OF AMERICA;1858;-78.010600;33.958300;;-78.0106;33.9583
pm9658;BRUNSWICK-2;BRUNSWICK;UNITED STATES OF AMERICA;1858;-78.010600;33.958300;;-78.0106;33.9583
pm9659;BYRON-1;BYRON;UNITED STATES OF AMERICA;2300;-89.281900;42.075000;;-89.2819;42.075
pm9660;BYRON-2;BYRON;UNITED STATES OF AMERICA;2300;-89.281900;42.075000;;-89.2819;42.075
pm9661;IKATA-2;IKATA;JAPAN;1922;132.317000;33.483300;;132.317;33.4833
pm9662;IKATA-3;IKATA;JAPAN;1922;132.317000;33.483300;;132.317;33.4833
pm9663;KASHIWAZAKI KARIWA-1;KASHIWAZAKI KARIWA;JAPAN;7965;138.583000;37.416700;;138.583;37.4167
pm9664;KASHIWAZAKI KARIWA-2;KASHIWAZAKI KARIWA;JAPAN;7965;138.583000;37.416700;;138.583;37.4167
pm9665;KASHIWAZAKI KARIWA-3;KASHIWAZAKI KARIWA;JAPAN;7965;138.583000;37.416700;;138.583;37.4167
pm9666;KASHIWAZAKI KARIWA-4;KASHIWAZAKI KARIWA;JAPAN;7965;138.583000;37.416700;;138.583;37.4167
pm9667;KASHIWAZAKI KARIWA-5;KASHIWAZAKI KARIWA;JAPAN;7965;138.583000;37.416700;;138.583;37.4167
pm9668;KASHIWAZAKI KARIWA-6;KASHIWAZAKI KARIWA;JAPAN;7965;138.583000;37.416700;;138.583;37.4167
pm9669;KASHIWAZAKI KARIWA-7;KASHIWAZAKI KARIWA;JAPAN;7965;138.583000;37.416700;;138.583;37.4167
pm9670;MIHAMA-1;MIHAMA;JAPAN;1720;135.967000;35.700000;;135.967;35.7
pm9671;MIHAMA-2;MIHAMA;JAPAN;1720;135.967000;35.700000;;135.967;35.7
pm9672;MIHAMA-3;MIHAMA;JAPAN;1720;135.967000;35.700000;;135.967;35.7
pm9673;MONJU;MONJU;JAPAN;10;136.000000;35.766700;;136;35.7667
pm9674;OHI-1;OHI;JAPAN;4494;135.650000;35.533300;;135.65;35.5333
pm9675;OHI-2;OHI;JAPAN;4494;135.650000;35.533300;;135.65;35.5333
pm9676;OHI-3;OHI;JAPAN;4494;135.650000;35.533300;;135.65;35.5333
pm9677;OHI-4;OHI;JAPAN;4494;135.650000;35.533300;;135.65;35.5333
pm9678;CALLAWAY-1;CALLAWAY;UNITED STATES OF AMERICA;1190;-91.781700;38.758300;;-91.7817;38.7583
pm9679;CALVERT CLIFFS-1;CALVERT CLIFFS;UNITED STATES OF AMERICA;1735;-76.441900;38.434700;;-76.4419;38.4347
pm9680;CALVERT CLIFFS-2;CALVERT CLIFFS;UNITED STATES OF AMERICA;1735;-76.441900;38.434700;;-76.4419;38.4347
pm9681;CATAWBA-1;CATAWBA;UNITED STATES OF AMERICA;2258;-81.069400;35.051400;;-81.0694;35.0514
pm9682;CATAWBA-2;CATAWBA;UNITED STATES OF AMERICA;2258;-81.069400;35.051400;;-81.0694;35.0514
pm9683;CLINTON-1;CLINTON;UNITED STATES OF AMERICA;1043;-88.834200;40.171900;;-88.8342;40.1719
pm9684;COLUMBIA;COLUMBIA;UNITED STATES OF AMERICA;1131;-119.333889;46.471111;;-119.333889;46.471111
pm9685;COMANCHE PEAK-1;COMANCHE PEAK;UNITED STATES OF AMERICA;2367;-97.785000;32.297800;;-97.785;32.2978
pm9686;COMANCHE PEAK-2;COMANCHE PEAK;UNITED STATES OF AMERICA;2367;-97.785000;32.297800;;-97.785;32.2978
pm9687;COOPER;COOPER;UNITED STATES OF AMERICA;769;-95.641100;40.361900;;-95.6411;40.3619
pm9688;CRYSTAL RIVER-3;CRYSTAL RIVER;UNITED STATES OF AMERICA;860;-82.698900;28.957200;;-82.6989;28.9572
pm9689;DAVIS BESSE-1;DAVIS BESSE;UNITED STATES OF AMERICA;879;-83.086400;41.597200;;-83.0864;41.5972
pm9690;DIABLO CANYON-1;DIABLO CANYON;UNITED STATES OF AMERICA;2240;-120.854000;35.211700;;-120.854;35.2117
pm9691;DIABLO CANYON-2;DIABLO CANYON;UNITED STATES OF AMERICA;2240;-120.854000;35.211700;;-120.854;35.2117
pm9692;MADRAS-2;MADRAS;INDIA;880;80.175000;12.557500;;80.175;12.5575
pm9693;NARORA-1;NARORA;INDIA;404;78.366700;28.183300;;78.3667;28.1833
pm9694;NARORA-2;NARORA;INDIA;404;78.366700;28.183300;;78.3667;28.1833
pm9695;PFBR;MADRAS;INDIA;880;80.158400;12.507700;;80.1584;12.5077
pm9696;RAJASTHAN-1;RAJASTHAN;INDIA;1085;75.633300;24.883300;;75.6333;24.8833
pm9697;RAJASTHAN-2;RAJASTHAN;INDIA;1085;75.633300;24.883300;;75.6333;24.8833
pm9698;RAJASTHAN-3;RAJASTHAN;INDIA;1085;75.633300;24.883300;;75.6333;24.8833
pm9699;RAJASTHAN-4;RAJASTHAN;INDIA;1085;75.633300;24.883300;;75.6333;24.8833
pm9700;RAJASTHAN-5;RAJASTHAN;INDIA;1085;75.633300;24.883300;;75.6333;24.8833
pm9701;RAJASTHAN-6;RAJASTHAN;INDIA;1085;75.633300;24.883300;;75.6333;24.8833
pm9702;TARAPUR-1;TARAPUR;INDIA;1280;72.666700;19.833300;;72.6667;19.8333
pm9703;TARAPUR-2;TARAPUR;INDIA;1280;72.666700;19.833300;;72.6667;19.8333
pm9704;TARAPUR-3;TARAPUR;INDIA;1280;72.666700;19.833300;;72.6667;19.8333
pm9705;TARAPUR-4;TARAPUR;INDIA;1280;72.666700;19.833300;;72.6667;19.8333
pm9706;BUSHEHR 1;BUSHEHR;IRAN;915;50.883300;28.850000;;50.8833;28.85
pm9707;DONALD COOK-1;DONALD COOK;UNITED STATES OF AMERICA;2069;-86.566400;41.976100;;-86.5664;41.9761
pm9708;DONALD COOK-2;DONALD COOK;UNITED STATES OF AMERICA;2069;-86.566400;41.976100;;-86.5664;41.9761
pm9709;DRESDEN-2;DRESDEN;UNITED STATES OF AMERICA;1734;-88.271100;41.389700;;-88.2711;41.3897
pm9710;DRESDEN-3;DRESDEN;UNITED STATES OF AMERICA;1734;-88.271100;41.389700;;-88.2711;41.3897
pm9711;DUANE ARNOLD-1;DUANE ARNOLD;UNITED STATES OF AMERICA;579;-91.777200;42.100600;;-91.7772;42.1006
pm9712;ENRICO FERMI-2;ENRICO FERMI;UNITED STATES OF AMERICA;1122;-83.258600;41.963300;;-83.2586;41.9633
pm9713;FARLEY-1;FARLEY;UNITED STATES OF AMERICA;1711;-85.112500;31.222800;;-85.1125;31.2228
pm9714;FARLEY-2;FARLEY;UNITED STATES OF AMERICA;1711;-85.112500;31.222800;;-85.1125;31.2228
pm9715;FITZPATRICK;FITZPATRICK;UNITED STATES OF AMERICA;854;-76.398300;43.523900;;-76.3983;43.5239
pm9716;FORT CALHOUN-1;FORT CALHOUN;UNITED STATES OF AMERICA;482;-96.076700;41.520800;;-96.0767;41.5208
pm9717;GRAND GULF-1;GRAND GULF;UNITED STATES OF AMERICA;1259;-91.048100;32.007500;;-91.0481;32.0075
pm9718;H.B. ROBINSON-2;H.B. ROBINSON;UNITED STATES OF AMERICA;710;-80.158600;34.405300;;-80.1586;34.4053
pm9719;HATCH-1;HATCH;UNITED STATES OF AMERICA;1759;-82.344400;31.934200;;-82.3444;31.9342
pm9720;HATCH-2;HATCH;UNITED STATES OF AMERICA;1759;-82.344400;31.934200;;-82.3444;31.9342
pm9721;ULCHIN-5;ULCHIN;KOREA;5873;129.383000;37.100000;;129.383;37.1
pm9722;ULCHIN-6;ULCHIN;KOREA;5873;129.383000;37.100000;;129.383;37.1
pm9723;WOLSONG-1;WOLSONG;KOREA;2722;129.483000;35.716700;;129.483;35.7167
pm9724;WOLSONG-2;WOLSONG;KOREA;2722;129.483000;35.716700;;129.483;35.7167
pm9725;WOLSONG-3;WOLSONG;KOREA;2722;129.483000;35.716700;;129.483;35.7167
pm9726;WOLSONG-4;WOLSONG;KOREA;2722;129.483000;35.716700;;129.483;35.7167
pm9727;YONGGWANG-1;YONGGWANG;KOREA;5875;126.417000;35.416700;;126.417;35.4167
pm9728;YONGGWANG-2;YONGGWANG;KOREA;5875;126.417000;35.416700;;126.417;35.4167
pm9729;YONGGWANG-3;YONGGWANG;KOREA;5875;126.417000;35.416700;;126.417;35.4167
pm9730;YONGGWANG-4;YONGGWANG;KOREA;5875;126.417000;35.416700;;126.417;35.4167
pm9731;YONGGWANG-5;YONGGWANG;KOREA;5875;126.417000;35.416700;;126.417;35.4167
pm9732;YONGGWANG-6;YONGGWANG;KOREA;5875;126.417000;35.416700;;126.417;35.4167
pm9733;CHIN SHAN-1;CHIN SHAN;TAIWAN;1208;121.567000;25.283300;;121.567;25.2833
pm9734;CHIN SHAN-2;CHIN SHAN;TAIWAN;1208;121.567000;25.283300;;121.567;25.2833
pm9735;KUOSHENG-1;KUOSHENG;TAIWAN;1933;121.650000;25.216700;;121.65;25.2167
pm9736;KUOSHENG-2;KUOSHENG;TAIWAN;1933;121.650000;25.216700;;121.65;25.2167
pm9737;HOPE CREEK-1;HOPE CREEK;UNITED STATES OF AMERICA;1161;-75.538100;39.467800;;-75.5381;39.4678
pm9738;INDIAN POINT-2;INDIAN POINT;UNITED STATES OF AMERICA;2065;-73.952500;41.271400;;-73.9525;41.2714
pm9739;INDIAN POINT-3;INDIAN POINT;UNITED STATES OF AMERICA;2065;-73.952500;41.271400;;-73.9525;41.2714
pm9740;KEWAUNEE;KEWAUNEE;UNITED STATES OF AMERICA;556;-87.536100;44.343100;;-87.5361;44.3431
pm9741;LASALLE-1;LASALLE;UNITED STATES OF AMERICA;2238;-88.670800;41.243900;;-88.6708;41.2439
pm9742;LASALLE-2;LASALLE;UNITED STATES OF AMERICA;2238;-88.670800;41.243900;;-88.6708;41.2439
pm9743;LIMERICK-1;LIMERICK;UNITED STATES OF AMERICA;2264;-75.590000;40.220000;;-75.59;40.22
pm9744;LIMERICK-2;LIMERICK;UNITED STATES OF AMERICA;2264;-75.590000;40.220000;;-75.59;40.22
pm9745;MCGUIRE-1;MCGUIRE;UNITED STATES OF AMERICA;2200;-80.948300;35.432200;;-80.9483;35.4322
pm9746;MCGUIRE-2;MCGUIRE;UNITED STATES OF AMERICA;2200;-80.948300;35.432200;;-80.9483;35.4322
pm9747;MILLSTONE-2;MILLSTONE;UNITED STATES OF AMERICA;2014;-72.168100;41.308600;;-72.1681;41.3086
pm9748;MILLSTONE-3;MILLSTONE;UNITED STATES OF AMERICA;2014;-72.168100;41.308600;;-72.1681;41.3086
pm9749;MONTICELLO;MONTICELLO;UNITED STATES OF AMERICA;572;-93.848300;45.333300;;-93.8483;45.3333
pm9750;NINE MILE POINT-1;NINE MILE POINT;UNITED STATES OF AMERICA;1763;-76.410000;43.522200;;-76.41;43.5222
pm9751;BILIBINO-1;BILIBINO;RUSSIAN FEDERATION;44;166.450000;68.050000;;166.45;68.05
pm9752;BILIBINO-2;BILIBINO;RUSSIAN FEDERATION;44;166.450000;68.050000;;166.45;68.05
pm9753;BILIBINO-3;BILIBINO;RUSSIAN FEDERATION;44;166.450000;68.050000;;166.45;68.05
pm9754;BILIBINO-4;BILIBINO;RUSSIAN FEDERATION;44;166.450000;68.050000;;166.45;68.05
pm9755;KALININ-1;KALININ;RUSSIAN FEDERATION;3800;35.083300;57.916700;;35.0833;57.9167
pm9756;KALININ-2;KALININ;RUSSIAN FEDERATION;3800;35.083300;57.916700;;35.0833;57.9167
pm9757;KALININ-3;KALININ;RUSSIAN FEDERATION;3800;35.083300;57.916700;;35.0833;57.9167
pm9758;KALININ-4;KALININ;RUSSIAN FEDERATION;3800;35.083300;57.916700;;35.0833;57.9167
pm9759;KOLA-1;KOLA;RUSSIAN FEDERATION;1644;32.466700;67.466700;;32.4667;67.4667
pm9760;KOLA-2;KOLA;RUSSIAN FEDERATION;1644;32.466700;67.466700;;32.4667;67.4667
pm9761;KOLA-3;KOLA;RUSSIAN FEDERATION;1644;32.466700;67.466700;;32.4667;67.4667
pm9762;KOLA-4;KOLA;RUSSIAN FEDERATION;1644;32.466700;67.466700;;32.4667;67.4667
pm9763;KURSK-1;KURSK;RUSSIAN FEDERATION;3700;35.616700;51.683300;;35.6167;51.6833
pm9764;KURSK-2;KURSK;RUSSIAN FEDERATION;3700;35.616700;51.683300;;35.6167;51.6833
pm9765;NINE MILE POINT-2;NINE MILE POINT;UNITED STATES OF AMERICA;1763;-76.410000;43.522200;;-76.41;43.5222
pm9766;NORTH ANNA-1;NORTH ANNA;UNITED STATES OF AMERICA;1806;-77.790600;38.060800;;-77.7906;38.0608
pm9767;NORTH ANNA-2;NORTH ANNA;UNITED STATES OF AMERICA;1806;-77.790600;38.060800;;-77.7906;38.0608
pm9768;OCONEE-1;OCONEE;UNITED STATES OF AMERICA;2538;-82.898600;34.791700;;-82.8986;34.7917
pm9769;OCONEE-2;OCONEE;UNITED STATES OF AMERICA;2538;-82.898600;34.791700;;-82.8986;34.7917
pm9770;OCONEE-3;OCONEE;UNITED STATES OF AMERICA;2538;-82.898600;34.791700;;-82.8986;34.7917
pm9771;OYSTER CREEK;OYSTER CREEK;UNITED STATES OF AMERICA;614;-74.206400;39.814200;;-74.2064;39.8142
pm9772;PALISADES;PALISADES;UNITED STATES OF AMERICA;778;-86.315300;42.322200;;-86.3153;42.3222
pm9773;PALO VERDE-1;PALO VERDE;UNITED STATES OF AMERICA;3942;-112.862000;33.389700;;-112.862;33.3897
pm9774;PALO VERDE-2;PALO VERDE;UNITED STATES OF AMERICA;3942;-112.862000;33.389700;;-112.862;33.3897
pm9775;PALO VERDE-3;PALO VERDE;UNITED STATES OF AMERICA;3942;-112.862000;33.389700;;-112.862;33.3897
pm9776;PEACH BOTTOM-2;PEACH BOTTOM;UNITED STATES OF AMERICA;2224;-76.269200;39.758900;;-76.2692;39.7589
pm9777;PEACH BOTTOM-3;PEACH BOTTOM;UNITED STATES OF AMERICA;2224;-76.269200;39.758900;;-76.2692;39.7589
pm9778;PERRY-1;PERRY;UNITED STATES OF AMERICA;1245;-81.143300;41.801100;;-81.1433;41.8011
pm9779;PILGRIM-1;PILGRIM;UNITED STATES OF AMERICA;684;-70.579400;41.944400;;-70.5794;41.9444
pm9780;POINT BEACH-1;POINT BEACH;UNITED STATES OF AMERICA;1026;-87.536100;44.280800;;-87.5361;44.2808
pm9781;POINT BEACH-2;POINT BEACH;UNITED STATES OF AMERICA;1026;-87.536100;44.280800;;-87.5361;44.2808
pm9782;PRAIRIE ISLAND-1;PRAIRIE ISLAND;UNITED STATES OF AMERICA;1096;-92.633100;44.619400;;-92.6331;44.6194
pm9783;PRAIRIE ISLAND-2;PRAIRIE ISLAND;UNITED STATES OF AMERICA;1096;-92.633100;44.619400;;-92.6331;44.6194
pm9784;QUAD CITIES-1;QUAD CITIES;UNITED STATES OF AMERICA;1734;-90.310000;41.726100;;-90.31;41.7261
pm9785;QUAD CITIES-2;QUAD CITIES;UNITED STATES OF AMERICA;1734;-90.310000;41.726100;;-90.31;41.7261
pm9786;R.E. GINNA;R.E. GINNA;UNITED STATES OF AMERICA;580;-77.308900;43.291700;;-77.3089;43.2917
pm9787;RIVER BEND-1;RIVER BEND;UNITED STATES OF AMERICA;978;-91.331700;30.757200;;-91.3317;30.7572
pm9788;SALEM-1;SALEM;UNITED STATES OF AMERICA;2332;-75.535800;39.462800;;-75.5358;39.4628
pm9789;SALEM-2;SALEM;UNITED STATES OF AMERICA;2332;-75.535800;39.462800;;-75.5358;39.4628
